Item,Unit,year,production
Vegetables Primary,tonnes,1971,234.107826
Vegetables Primary,tonnes,1972,232.383229
Vegetables Primary,tonnes,1973,245.911746
Vegetables Primary,tonnes,1974,253.000158
Vegetables Primary,tonnes,1975,258.240178
Vegetables Primary,tonnes,1976,259.662192
Vegetables Primary,tonnes,1977,271.567493
Vegetables Primary,tonnes,1978,287.48748
Vegetables Primary,tonnes,1979,292.551466
Vegetables Primary,tonnes,1980,290.296229
Vegetables Primary,tonnes,1981,304.4309
Vegetables Primary,tonnes,1982,320.997192
Vegetables Primary,tonnes,1983,327.336913
Vegetables Primary,tonnes,1984,352.900356
Vegetables Primary,tonnes,1985,355.672363
Vegetables Primary,tonnes,1986,377.278383
Vegetables Primary,tonnes,1987,384.438108
Vegetables Primary,tonnes,1988,394.252404
Vegetables Primary,tonnes,1989,407.857861
Vegetables Primary,tonnes,1990,418.766676
Vegetables Primary,tonnes,1991,420.137589
Vegetables Primary,tonnes,1992,434.676614
Vegetables Primary,tonnes,1993,462.473461
Vegetables Primary,tonnes,1994,486.468064
Vegetables Primary,tonnes,1995,512.780209
Vegetables Primary,tonnes,1996,542.738059
Vegetables Primary,tonnes,1997,551.844581
Vegetables Primary,tonnes,1998,572.757665
Vegetables Primary,tonnes,1999,615.205362
Vegetables Primary,tonnes,2000,686.643002
Vegetables Primary,tonnes,2001,705.280012
Vegetables Primary,tonnes,2002,727.27014
Vegetables Primary,tonnes,2003,758.206091
Vegetables Primary,tonnes,2004,768.465892
Vegetables Primary,tonnes,2005,789.725045
Vegetables Primary,tonnes,2006,820.287834
Vegetables Primary,tonnes,2007,855.731062
Vegetables Primary,tonnes,2008,889.497326
Vegetables Primary,tonnes,2009,915.99334
Vegetables Primary,tonnes,2010,938.781301
Vegetables Primary,tonnes,2011,974.818555
Vegetables Primary,tonnes,2012,999.784428
Vegetables Primary,tonnes,2013,1021.617554
Vegetables Primary,tonnes,2014,1056.014216
Vegetables Primary,tonnes,2015,1084.174676
Vegetables Primary,tonnes,2016,1087.828966
Vegetables Primary,tonnes,2017,1109.345242
Vegetables Primary,tonnes,2018,1111.04583
Vegetables Primary,tonnes,2019,1129.672958
Vegetables Primary,tonnes,2020,1148.446252
