Item,Unit,year,production
Eggs Primary,tonnes,1976,23.636541
Eggs Primary,tonnes,1977,24.740581
Eggs Primary,tonnes,1978,25.809616
Eggs Primary,tonnes,1979,26.559263
Eggs Primary,tonnes,1980,27.404238
Eggs Primary,tonnes,1981,28.015296
Eggs Primary,tonnes,1982,28.761474
Eggs Primary,tonnes,1983,29.307525
Eggs Primary,tonnes,1984,30.774879
Eggs Primary,tonnes,1985,32.495761
Eggs Primary,tonnes,1986,33.600773
Eggs Primary,tonnes,1987,34.488889
Eggs Primary,tonnes,1988,36.015475
Eggs Primary,tonnes,1989,36.305637
Eggs Primary,tonnes,1990,37.364697
Eggs Primary,tonnes,1991,39.150514
Eggs Primary,tonnes,1992,39.790261
Eggs Primary,tonnes,1993,41.280278
Eggs Primary,tonnes,1994,44.772407
Eggs Primary,tonnes,1995,46.882807
Eggs Primary,tonnes,1996,49.775489
Eggs Primary,tonnes,1997,49.931256
Eggs Primary,tonnes,1998,51.615298
Eggs Primary,tonnes,1999,53.542837
Eggs Primary,tonnes,2000,55.170217
Eggs Primary,tonnes,2001,56.297363
Eggs Primary,tonnes,2002,57.673259
Eggs Primary,tonnes,2003,58.666984
Eggs Primary,tonnes,2004,59.967941
Eggs Primary,tonnes,2005,61.224187
Eggs Primary,tonnes,2006,62.488076
Eggs Primary,tonnes,2007,64.310417
Eggs Primary,tonnes,2008,66.748013
Eggs Primary,tonnes,2009,68.117725
Eggs Primary,tonnes,2010,69.503655
Eggs Primary,tonnes,2011,70.866075
Eggs Primary,tonnes,2012,72.584325
Eggs Primary,tonnes,2013,74.264357
Eggs Primary,tonnes,2014,75.84867
Eggs Primary,tonnes,2015,78.102167
Eggs Primary,tonnes,2016,80.245128
Eggs Primary,tonnes,2017,84.718289
Eggs Primary,tonnes,2018,86.716633
Eggs Primary,tonnes,2019,90.375416
Eggs Primary,tonnes,2020,92.966949
Fruit Primary,tonnes,1961,199.837692
Fruit Primary,tonnes,1962,216.844165
Fruit Primary,tonnes,1963,213.981496
Fruit Primary,tonnes,1964,224.684963
Fruit Primary,tonnes,1965,229.599213
