year,energy_source,energy_type,energy_source_consumption
2006,other_renewable_consumption,low_carbon_consumption,726.227
2006,solar_consumption,low_carbon_consumption,15.293
2006,wind_consumption,low_carbon_consumption,355.127
2007,biofuel_consumption,low_carbon_consumption,394.209
2007,coal_consumption,fossil_fuel_consumption,40223.624
2007,gas_consumption,fossil_fuel_consumption,29323.697
2007,hydro_consumption,low_carbon_consumption,8179.49
2007,nuclear_consumption,low_carbon_consumption,7294.706
2007,oil_consumption,fossil_fuel_consumption,47957.516
2007,other_renewable_consumption,low_carbon_consumption,783.021
2007,solar_consumption,low_carbon_consumption,20.64
2007,wind_consumption,low_carbon_consumption,453.503
2008,biofuel_consumption,low_carbon_consumption,539.807
2008,coal_consumption,fossil_fuel_consumption,40770.48
2008,gas_consumption,fossil_fuel_consumption,30024.33
2008,hydro_consumption,low_carbon_consumption,8598.703
2008,nuclear_consumption,low_carbon_consumption,7226.874
2008,oil_consumption,fossil_fuel_consumption,47565.65
2008,other_renewable_consumption,low_carbon_consumption,832.851
2008,solar_consumption,low_carbon_consumption,33.376
2008,wind_consumption,low_carbon_consumption,582.461
2009,biofuel_consumption,low_carbon_consumption,618.649
2009,coal_consumption,fossil_fuel_consumption,40148.633
2009,gas_consumption,fossil_fuel_consumption,29411.029
2009,hydro_consumption,low_carbon_consumption,8532.793
2009,nuclear_consumption,low_carbon_consumption,7080.672
2009,oil_consumption,fossil_fuel_consumption,46653.505
2009,other_renewable_consumption,low_carbon_consumption,891.054
2009,solar_consumption,low_carbon_consumption,55.016
2009,wind_consumption,low_carbon_consumption,724.212
2010,biofuel_consumption,low_carbon_consumption,712.414
2010,coal_consumption,fossil_fuel_consumption,41997.234
2010,gas_consumption,fossil_fuel_consumption,31606.766
2010,hydro_consumption,low_carbon_consumption,8958.472
2010,nuclear_consumption,low_carbon_consumption,7218.503
2010,oil_consumption,fossil_fuel_consumption,48087.136
2010,other_renewable_consumption,low_carbon_consumption,990.475
2010,solar_consumption,low_carbon_consumption,87.907
2010,wind_consumption,low_carbon_consumption,903.467
2011,biofuel_consumption,low_carbon_consumption,745.152
2011,coal_consumption,fossil_fuel_consumption,44018.078
2011,gas_consumption,fossil_fuel_consumption,32370.994
2011,hydro_consumption,low_carbon_consumption,9072.896
2011,nuclear_consumption,low_carbon_consumption,6874.33
2011,oil_consumption,fossil_fuel_consumption,48549.975
2011,other_renewable_consumption,low_carbon_consumption,1033.31
